name	lat	lon	Outbound_Course	Dis_this_leg	Dis_remaining	Dis_flown	type
KSAN	32.7335628	-117.1896633	286°	NA	3899	0	Origin Airport
JETTI	32.76375	-117.3145556	156°	12.0	3908	12	Waypoint
ZZOOO	32.6314444	-117.2458333	96°	16.0	3909	13	Waypoint
JORRJ	32.6018333	-116.9161389	77°	31.0	3883	30	Waypoint
GRIDR	32.6302222	-116.7731944	22°	14.0	3869	41	Waypoint
PIEZZ	33.0094167	-116.5874444	24°	46.0	3835	64	Waypoint
NSHEE	33.3993611	-116.3831111	54°	47.0	3800	106	Waypoint
MTBAL	33.6033056	-116.0423056	67°	39.0	3761	144	Waypoint
LANCY	34.2676111	-114.0920389	71°	195.0	3567	334	WAY-PT
DRK	34.7025522	-112.4803417	74°	156.0	3412	488	VOR-TAC (NAVAID)
KEYKE	34.9498861	-111.386925	75°	104.0	3309	590	Reporting Point
GUP	35.4759992	-108.8726117	71°	236.0	3075	825	VOR-TAC (NAVAID)
CIM	36.4913969	-104.8719997	79°	378.0	2698	1202	VOR-TAC (NAVAID)
TOTOE	37.0445028	-100.9713528	74°	353.0	2349	1554	WAYPOINT
WRIGL	37.7452194	-97.5840333	77°	310.0	2040	1864	WAYPOINT
BUM	38.27208	-94.4882611	78°	278.0	1762	2141	VOR-TAC (NAVAID)
SCAWT	38.3448944	-94.0421889	78°	40.0	1723	2181	Reporting Point
ELSTO	38.636225	-92.1309333	79°	170.0	1553	2351	Reporting Point
KOOOP	38.6919056	-91.7425806	80°	34.0	1519	2385	Reporting Point
STL	38.8607233	-90.4823489	75°	111.0	1408	2496	VOR-TAC (NAVAID)
TTH	39.4888889	-87.2488889	71°	288.0	1121	2781	VOR-TAC (NAVAID)
ROD	40.2877778	-84.0430556	59°	288.0	837	3063	VOR-TAC (NAVAID)
DORET	41.8016389	-80.5846222	98°	336.0	551	3368	Reporting Point
ZORBO	41.6572444	-79.2074917	98°	116.0	436	3480	Reporting Point
SLT	41.5127594	-77.9701097	186°	104.0	332	3582	VOR-TAC (NAVAID)
SLT	41.51275	-77.9701111	101°	0.0	332	3582	VOR-TAC (NAVAID)
FQM	41.3385556	-76.7748611	109°	102.0	230	3681	VOR-DME (NAVAID)
MEGSS	41.1870278	-76.2113889	110°	50.0	180	3728	Reporting Point
HAYED	41.1439167	-76.0534444	110°	14.0	166	3741	Reporting Point
RACKI	41.0121667	-75.5769722	110°	43.0	124	3781	Reporting Point
PENNS	40.8806389	-75.1095556	110°	42.0	82	3820	Reporting Point
SWEET	40.8282778	-74.9243333	103°	17.0	65	3835	Reporting Point
KEWR	40.6924798	-74.1686868	NA	65.0	0	3899	Destination Airport
